# -------------------------------------------------------;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;
# -------------------------------------------------------;;;
;;;
date;app_version;daily_crashes;daily_anrs
20150109;31;1;0
20150105;32;1;0
20150101;32;1;0
20141230;32;1;0
20141229;32;1;0
20141228;32;2;0
20141227;32;1;0
20141222;32;1;0
20141220;32;1;0
20141219;32;3;0
20141217;32;2;0
20141215;32;1;0
20150103;20004300;1;0
20141230;20103300;1;2
20141229;20103300;3;0
20141228;20103300;1;0
20141225;20103300;1;0
20150110;20203300;1;0
20150103;20203300;1;0
20141220;20203300;3;0
20141227;20300300;1;0
20150112;20302300;20;0
20150111;20302300;24;0
20150110;20302300;19;1
20150109;20302300;14;0
20150108;20302300;23;0
20150107;20302300;17;0
20150106;20302300;21;2
20150105;20302300;24;2
20150104;20302300;19;1
20150103;20302300;29;2
20150102;20302300;18;0
20150101;20302300;14;1
20141231;20302300;12;0
20141230;20302300;14;3
20141229;20302300;14;2
20141228;20302300;11;0
20141227;20302300;19;1
20141226;20302300;17;0
20141225;20302300;16;2
20141224;20302300;16;2
20141223;20302300;15;0
20141222;20302300;13;1
20141221;20302300;20;0
20141220;20302300;20;0
20141219;20302300;14;0
20141218;20302300;19;0
20141217;20302300;22;2
20141216;20302300;22;1
20141215;20302300;17;2
20141214;20302300;21;0
20141213;20302300;15;0
20141212;20302300;16;0
20150106;;1;0
