# -------------------------------------------------------;;;;;;;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;;;;;;;
# -------------------------------------------------------;;;;;;;;;
;;;;;;;;;
date;country;current_device_installs;daily_device_installs;daily_device_uninstalls;daily_device_upgrades;current_user_installs;total_user_installs;daily_user_installs;daily_user_uninstalls
20150112;unknown;0;0;0;0;0;220652;0;4
20150112;ZZ;244;1;0;0;203;517;2;0
20150112;ZW;55;0;0;0;50;144;0;0
20150112;ZM;29;0;0;0;24;62;0;0
20150112;ZA;1349;4;1;1;1189;2565;4;1
20150112;YT;4;0;0;0;4;6;0;0
20150112;YE;52;0;2;0;47;133;0;2
20150112;WS;4;0;0;0;4;5;0;0
20150112;VU;5;0;0;0;5;7;0;0
20150112;VN;3846;30;16;2;3612;10206;22;16
20150112;VI;4;0;0;0;4;8;0;0
20150112;VG;3;0;0;0;3;4;0;0
20150112;VE;358;3;3;1;312;939;3;3
20150112;VC;23;0;0;0;17;30;0;0
20150112;UZ;212;3;1;0;201;581;2;1
20150112;UY;112;0;0;0;102;242;0;0
20150112;US;137501;689;350;59;114391;238215;576;326
20150112;UG;40;0;0;0;34;93;0;0
20150112;UA;6595;51;36;3;6093;14383;49;35
20150112;TZ;89;2;1;0;79;182;1;1
20150112;TW;8844;37;28;5;7755;27631;38;33
20150112;TV;1;0;0;0;1;1;0;0
20150112;TT;112;4;4;0;97;288;4;4
20150112;TR;2737;16;7;2;2546;8064;13;5
20150112;TN;99;0;0;0;91;371;0;0
20150112;TM;24;0;0;0;23;62;0;0
20150112;TL;15;0;0;0;13;18;0;0
20150112;TJ;47;0;1;0;44;134;0;1
20150112;TH;2930;14;9;3;2623;6316;12;9
20150112;TG;7;0;0;0;5;24;0;0
20150112;TD;5;0;0;0;4;8;0;0
20150112;TC;2;0;0;0;1;3;0;0
20150112;SZ;6;0;0;0;6;9;0;0
20150112;SY;7;0;0;0;6;28;0;0
20150112;SX;14;0;0;0;11;19;0;0
20150112;SV;62;2;1;0;55;184;2;1
20150112;ST;2;0;0;0;2;2;0;0
20150112;SS;6;0;0;0;6;8;0;0
20150112;SR;12;0;0;0;8;30;0;0
20150112;SO;3;0;0;0;3;17;0;0
20150112;SN;36;0;0;0;30;136;0;0
20150112;SM;0;0;0;0;0;2;0;0
20150112;SL;4;0;0;0;3;7;0;0
20150112;SK;1060;3;2;1;936;1937;2;2
20150112;SJ;2;0;0;0;1;1;0;0
20150112;SI;587;1;0;1;529;1138;1;0
20150112;SG;2904;15;5;1;2513;5399;12;4
20150112;SE;5846;26;6;5;4912;8680;19;6
20150112;SD;17;0;0;0;17;40;0;0
20150112;SC;8;0;0;0;8;12;0;0
20150112;SB;1;0;0;0;1;1;0;0
20150112;SA;948;6;2;0;873;2634;5;2
20150112;RW;21;0;0;0;19;39;0;0
20150112;RU;23262;148;83;13;20753;47056;134;79
20150112;RS;784;4;5;0;720;1797;4;4
20150112;RO;1160;7;5;1;1030;2549;5;4
20150112;RE;88;0;0;0;77;167;0;0
20150112;QA;210;5;1;0;189;428;4;0
20150112;PY;73;1;1;0;69;214;1;1
20150112;PW;1;0;0;0;1;3;0;0
20150112;PT;929;9;6;1;807;2015;9;5
20150112;PS;10;0;0;0;10;36;0;0
20150112;PR;152;1;0;0;106;282;0;0
20150112;PM;1;0;0;0;1;3;0;0
20150112;PL;19091;90;39;17;16880;35399;74;37
20150112;PK;601;4;2;0;563;1901;4;2
20150112;PH;2343;12;11;0;2128;6352;11;11
20150112;PG;18;0;0;0;15;27;0;0
20150112;PF;24;0;0;0;19;44;0;0
20150112;PE;521;0;5;0;456;1193;0;4
20150112;PA;137;0;0;0;121;325;0;0
20150112;OM;138;1;2;0;129;408;0;2
20150112;NZ;2305;11;4;0;2004;4226;10;4
20150112;NP;179;2;1;0;168;500;1;0
20150112;NO;2895;8;6;1;2441;4201;7;5
20150112;NL;5351;41;14;7;4619;9510;34;13
20150112;NI;63;3;0;0;54;143;2;0
20150112;NG;211;1;3;0;191;486;0;3
20150112;NE;2;0;0;0;2;19;0;0
20150112;NC;31;0;0;0;24;35;0;0
20150112;NA;25;0;0;0;21;48;0;0
20150112;MZ;41;0;0;0;40;65;0;0
20150112;MY;1799;12;3;1;1621;4471;10;3
20150112;MX;2288;21;9;0;2025;6219;18;10
20150112;MW;12;0;1;0;11;25;0;1
20150112;MV;18;0;0;0;18;60;0;0
20150112;MU;68;1;1;0;55;159;1;1
20150112;MT;81;0;1;0;75;192;0;1
20150112;MS;1;0;0;0;0;2;0;0
20150112;MR;2;0;0;0;2;20;0;0
20150112;MQ;24;1;0;0;18;39;0;0
20150112;MP;8;0;0;0;7;13;0;0
20150112;MO;103;0;0;0;94;283;0;0
20150112;MN;87;0;0;0;79;269;0;0
20150112;MM;118;1;0;0;99;216;1;0
20150112;ML;12;0;0;0;10;64;0;0
20150112;MK;101;0;0;0;90;249;0;0
20150112;MH;2;0;0;0;2;3;0;0
20150112;MG;20;0;0;0;19;74;0;0
20150112;ME;52;1;1;0;45;112;1;1
20150112;MD;210;2;0;0;200;510;2;0
20150112;MC;0;0;0;0;0;4;0;0
20150112;MA;391;1;3;0;349;1653;1;3
20150112;LY;53;1;0;0;51;140;1;0
20150112;LV;527;2;1;0;453;959;2;1
20150112;LU;243;0;0;1;190;344;0;0
20150112;LT;692;3;0;0;628;1454;3;0
20150112;LS;5;0;0;0;4;6;0;0
20150112;LR;8;0;0;0;7;12;0;0
20150112;LK;160;1;0;0;145;383;1;0
20150112;LI;20;0;0;0;17;34;0;0
20150112;LC;13;0;0;0;10;19;0;0
20150112;LB;131;3;0;0;123;336;3;0
20150112;LA;61;0;0;0;52;96;0;0
20150112;KZ;1285;18;5;2;1216;3235;15;5
20150112;KY;12;1;0;0;12;23;1;0
20150112;KW;182;0;0;0;158;422;0;0
20150112;KR;11252;95;38;6;10049;24819;82;35
20150112;KN;18;0;0;0;15;23;0;0
20150112;KM;1;0;0;0;1;1;0;0
20150112;KH;236;2;1;0;195;450;1;1
20150112;KG;217;0;1;0;202;554;0;1
20150112;KE;156;0;1;1;137;358;0;1
20150112;JP;40989;128;82;31;35620;107518;102;73
20150112;JO;264;2;1;0;244;594;1;1
20150112;JM;179;1;1;0;165;435;0;0
20150112;JE;11;0;0;0;9;21;0;0
20150112;IT;8219;53;39;8;7327;18057;45;37
20150112;IS;231;2;0;0;194;366;2;0
20150112;IR;3137;13;7;4;2880;4680;13;7
20150112;IQ;119;0;1;0;107;439;0;1
20150112;IN;4314;29;23;3;3988;14219;26;22
20150112;IM;7;0;0;0;6;13;0;0
20150112;IL;2575;14;9;2;2302;4894;14;9
20150112;IE;2218;13;8;0;1938;4045;10;8
20150112;ID;1780;12;9;0;1622;4183;10;8
20150112;HU;7555;30;18;3;6754;16408;28;19
20150112;HT;13;0;0;0;12;45;0;0
20150112;HR;560;3;1;0;494;1168;2;1
20150112;HN;48;1;1;0;41;151;1;1
20150112;HK;3027;7;12;1;2643;6516;3;13
20150112;GY;18;1;0;0;18;41;1;0
20150112;GW;0;0;0;0;0;2;0;0
20150112;GU;27;0;0;0;22;45;0;0
20150112;GT;168;1;0;0;142;339;1;0
20150112;GR;593;1;2;0;517;1301;1;3
20150112;GQ;2;0;0;0;2;5;0;0
20150112;GP;61;2;0;0;58;145;2;0
20150112;GN;6;0;1;0;6;35;0;1
20150112;GM;8;0;0;0;5;19;0;0
20150112;GL;8;0;0;0;7;9;0;0
20150112;GI;10;0;0;0;8;13;0;0
20150112;GH;95;2;0;0;89;255;2;0
20150112;GG;2;0;0;0;1;8;0;0
20150112;GF;7;0;0;0;5;12;0;0
20150112;GE;115;1;0;0;106;279;0;0
20150112;GD;59;0;0;0;46;72;0;0
20150112;GB;27192;130;56;14;23158;46209;98;52
20150112;GA;11;0;0;0;10;27;0;0
20150112;FR;15439;65;25;9;13390;24767;54;23
20150112;FO;6;0;0;0;6;12;0;0
20150112;FM;2;0;0;0;1;1;0;0
20150112;FK;2;0;0;0;2;2;0;0
20150112;FJ;22;0;0;0;17;43;0;0
20150112;FI;2907;18;10;0;2464;4149;12;9
20150112;ET;73;0;0;0;65;121;0;0
20150112;ES;10686;68;39;3;9262;21164;57;36
20150112;EG;782;8;3;0;730;1884;7;2
20150112;EE;750;6;3;1;677;1417;5;3
20150112;EC;203;2;1;0;179;537;2;1
20150112;DZ;169;1;2;0;156;873;1;2
20150112;DO;176;2;1;0;148;425;2;1
20150112;DM;22;0;0;0;14;31;0;0
20150112;DK;1533;5;3;1;1318;2519;5;2
20150112;DJ;7;0;0;0;6;17;0;0
20150112;DE;63405;269;121;32;54121;115835;227;105
20150112;CZ;6548;32;20;2;5696;11162;27;19
20150112;CY;126;2;0;0;111;272;1;0
20150112;CW;7;0;0;0;6;11;0;0
20150112;CV;4;0;0;0;3;9;0;0
20150112;CU;10;0;0;0;9;12;0;0
20150112;CR;280;1;1;0;235;630;1;1
20150112;CO;1095;8;5;1;974;2866;8;5
20150112;CN;5558;3;8;4;4640;11678;3;7
20150112;CM;24;0;0;0;20;61;0;0
20150112;CL;786;0;4;0;690;1922;0;4
20150112;CK;1;0;0;0;0;1;0;0
20150112;CI;18;1;1;0;17;119;1;1
20150112;CH;9540;40;15;8;7836;15519;29;14
20150112;CG;9;0;0;0;9;25;0;0
20150112;CF;1;0;0;0;1;1;0;0
20150112;CD;28;0;0;0;22;68;0;0
20150112;CA;15478;80;40;9;13444;26243;65;38
20150112;BZ;16;0;0;0;15;31;0;0
20150112;BY;1478;16;9;0;1358;3228;16;9
20150112;BW;18;0;0;0;14;30;0;0
20150112;BT;5;0;0;0;5;13;0;0
20150112;BS;37;0;0;0;31;79;0;0
20150112;BR;13446;116;57;5;12034;31509;100;53
20150112;BO;127;1;1;0;113;341;0;1
20150112;BN;45;0;0;0;45;144;0;0
20150112;BM;16;0;0;0;14;25;0;0
20150112;BJ;19;0;0;0;18;52;0;0
20150112;BI;8;0;0;0;8;13;0;0
20150112;BH;89;0;0;0;79;225;0;0
