# -------------------------------------------------------;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;
# -------------------------------------------------------;;;
;;;
date;device;daily_crashes;daily_anrs
20141221;Samsung Galaxy Note 8.0 (konalte);8;0
20141220;Samsung Galaxy Note 8.0 (konalte);7;0
20150103;Google Nexus 4 (mako);4;0
20150103;Google Nexus 5 (hammerhead);4;0
20141226;Samsung Galaxy Note4 (trlte);4;0
20150107;Samsung Galaxy Note II (t03g);3;0
20150106;Google Nexus 5 (hammerhead);3;0
20141228;Samsung Europa (GT-I5510L);3;0
20141227;Google Nexus 5 (hammerhead);3;0
20141227;Sony Ericsson Xperia Go (ST27i);3;0
20141224;HP SlateBook 14 (200a);3;0
20141220;Sony Ericsson Xperia arc S (LT18i);3;0
20141217;LGE L90 (w7n);3;0
20141217;Samsung Galaxy S3 (m0);3;0
20141216;Sony Ericsson Xperia L (C2105);3;0
20150112;Samsung Galaxy Note4 (trelte);2;0
20150112;Samsung Galaxy Nexus (maguro);2;0
20150112;Samsung Galaxy Note3 (hltetmo);2;0
20150112;Samsung Galaxy S3 (d2att);2;0
20150111;nuclear-evb;2;0
20150111;Google Nexus 4 (mako);2;0
20150111;Motorola Moto X (ghost);2;0
20150111;Samsung Galaxy S3 (d2lteMetroPCS);2;0
20150111;Xiaomi MI 3W (cancro);2;0
20150109;Samsung Galaxy Note 10.1 2014 Edition (lt03wifi);2;0
20150108;wiko;2;0
20150108;Samsung Galaxy S4 Mini  (serranolte);2;0
20150108;Samsung Galaxy S3 (d2lteMetroPCS);2;0
20150108;Sony Ericsson Xperia Z1 (C6903);2;0
20150107;Google Nexus 5 (hammerhead);2;0
20150106;LGE LG Optimus L7 II (vee7e);2;0
20150105;Samsung Galaxy Note 8.0 (konawifi);2;0
20150105;Google Nexus 5 (hammerhead);2;0
20150105;Asus TF700T (TF700T);2;0
20150105;Symphony Teleca OnePlus One (A0001);2;0
20150104;Samsung Galaxy Note3 (hltevzw);2;0
20150104;Samsung Galaxy S2 (GT-I9100);2;0
20150103;Samsung Galaxy Note 10.1 (p4noterf);2;0
20150103;Samsung Galaxy S5 (klte);2;0
20150103;Samsung Galaxy S4 (ja3g);2;0
20150103;LGE LG G3 (g3);2;0
20150103;Google Nexus 7 (flo);2;0
20150102;HTC HTC One SV (k2cl);2;0
20150102;Samsung Samsung Galaxy Stratosphere2 (aegis2vzw);2;0
20150101;Samsung Galaxy S4 (jflte);2;0
20141230;Samsung Galaxy S4 (jflte);2;0
20141230;Sony Ericsson Xperia L (C2105);2;0
20141229;Samsung Galaxy Tab3 7.0  (lt023g);2;0
20141229;Samsung Galaxy Note3 (hlte);2;0
20141229;Google Nexus 5 (hammerhead);2;0
20141229;Motorola Moto G (falcon_umts);2;0
20141229;Motorola MB865 (edison);2;0
20141228;HTC HTC Desire C (golfu);2;0
20141228;Samsung Galaxy Core (arubaslim);2;0
20141227;Lenovo Mobile Lenovo S660 (S660);2;0
20141225;Google Nexus 6 (shamu);2;0
20141225;Vertis_4510_Expi;2;0
20141223;LGE L90 (w7n);2;0
20141223;HTC HTC One (m7);2;0
20141221;Samsung Galaxy Note4 (trlte);2;0
20141220;LGE L90 (w7n);2;0
20141220;HTC Thunderbolt (mecha);2;0
20141220;Google Nexus 4 (mako);2;0
20141220;Samsung Samsung Galaxy Stratosphere2 (aegis2vzw);2;0
20141219;HTC Thunderbolt (mecha);2;0
20141219;Google Nexus 5 (hammerhead);2;0
20141219;Asus Fonepad 7 (FE375CG) (K019_1);2;0
20141218;Samsung Galaxy Young2 (young2nfc3g);2;0
20141217;wiko;2;0
