# -------------------------------------------------------;;;;;;;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;;;;;;;
# -------------------------------------------------------;;;;;;;;;
;;;;;;;;;
date;language;current_device_installs;daily_device_installs;daily_device_uninstalls;daily_device_upgrades;current_user_installs;total_user_installs;daily_user_installs;daily_user_uninstalls
20150112;zh_US;1;0;0;0;1;3;0;0
20150112;zh_TW;7924;33;27;4;7051;27057;33;31
20150112;zh_SG;1;0;0;0;1;7;0;0
20150112;zh_MY;0;0;0;0;0;1;0;0
20150112;zh_HK;849;4;7;0;798;2388;2;7
20150112;zh_CN;3240;6;4;1;2786;8146;6;4
20150112;zh;0;0;0;0;0;1;0;0
20150112;za_GB;0;0;0;0;0;1;0;0
20150112;vi_VN;2129;20;11;1;2038;6250;14;11
20150112;vi_VI;2;0;0;0;2;3;0;0
20150112;vi_US;4;0;0;0;4;15;0;0
20150112;vi_ID;0;0;0;0;0;1;0;0
20150112;vi_GB;0;0;0;0;0;2;0;0
20150112;vi;4;0;0;0;4;5;0;0
20150112;uz_UZ;1;0;0;0;1;3;0;0
20150112;ur_PK;1;0;0;0;0;0;0;0
20150112;und_US;1;0;0;0;1;2;0;0
20150112;uk_US;4;0;0;0;4;8;0;0
20150112;uk_UA;1369;12;5;1;1275;2680;12;5
20150112;uk_SK;0;0;0;0;0;1;0;0
20150112;uk_RU;1;0;0;0;1;1;0;0
20150112;uk_PL;0;0;0;0;0;1;0;0
20150112;uk_LT;0;0;0;0;0;1;0;0
20150112;uk_HU;1;0;0;0;1;1;0;0
20150112;uk_HR;0;0;0;0;0;1;0;0
20150112;uk_DE;1;0;0;0;1;1;0;0
20150112;uk_BY;0;0;0;0;0;2;0;0
20150112;uk;0;0;0;0;0;1;0;0
20150112;ug_CN;0;0;0;0;0;1;0;0
20150112;tr_US;2;0;0;0;2;10;0;0
20150112;tr_TR;1790;9;4;1;1706;6372;7;2
20150112;tr_RU;1;0;0;0;1;1;0;0
20150112;tr_GE;0;0;0;0;0;1;0;0
20150112;tr_GB;1;0;0;0;1;1;0;0
20150112;tr_DE;3;0;0;0;3;12;0;0
20150112;tr_CH;1;0;0;0;1;1;0;0
20150112;tr_AT;2;0;0;0;2;4;0;0
20150112;tr;3;0;0;0;2;4;0;0
20150112;th_US;1;0;0;0;0;0;0;0
20150112;th_TH;625;4;5;1;603;2056;4;5
20150112;th;1;0;0;0;1;4;0;0
20150112;ta_IN;1;0;0;0;1;2;0;0
20150112;sw_TZ;1;0;0;0;1;2;0;0
20150112;sv_US;1;0;0;0;1;1;0;0
