Date;Package Name;Country;Current Device Installs;Daily Device Installs;Daily Device Uninstalls;Daily Device Upgrades;Current User Installs;Total User Installs;Daily User Installs;Daily User Uninstalls
01.03.2016;com.ichi2.anki;AD;20;0;0;0;16;33;0;0
01.03.2016;com.ichi2.anki;AE;1199;2;1;0;1035;2848;2;1
01.03.2016;com.ichi2.anki;AF;108;0;1;0;91;249;0;1
01.03.2016;com.ichi2.anki;AG;39;0;0;0;28;68;0;0
01.03.2016;com.ichi2.anki;AI;2;0;0;0;1;7;0;0
01.03.2016;com.ichi2.anki;AL;89;1;0;0;78;299;1;0
01.03.2016;com.ichi2.anki;AM;102;0;0;0;96;374;0;0
01.03.2016;com.ichi2.anki;AN;53;0;0;0;44;91;0;0
01.03.2016;com.ichi2.anki;AO;58;0;0;0;50;156;0;0
01.03.2016;com.ichi2.anki;AR;1358;7;6;0;1181;4446;6;6
01.03.2016;com.ichi2.anki;AS;4;0;0;0;2;4;0;0
01.03.2016;com.ichi2.anki;AT;12474;38;19;10;10016;20542;27;18
01.03.2016;com.ichi2.anki;AU;20340;47;20;7;16533;33140;39;16
01.03.2016;com.ichi2.anki;AW;18;0;0;0;16;60;0;0
01.03.2016;com.ichi2.anki;AX;1;0;0;0;1;1;0;0
01.03.2016;com.ichi2.anki;AZ;266;3;1;0;255;1016;2;1
01.03.2016;com.ichi2.anki;BA;266;0;2;0;239;1108;0;2
01.03.2016;com.ichi2.anki;BB;30;0;1;0;29;91;0;1
01.03.2016;com.ichi2.anki;BD;321;1;0;0;289;1186;1;0
01.03.2016;com.ichi2.anki;BE;5091;17;7;3;4227;9637;12;6
01.03.2016;com.ichi2.anki;BF;21;1;0;0;17;71;0;0
01.03.2016;com.ichi2.anki;BG;1101;2;2;0;990;2508;2;2
01.03.2016;com.ichi2.anki;BH;157;0;0;0;133;380;0;0
01.03.2016;com.ichi2.anki;BI;5;0;0;0;5;14;0;0
01.03.2016;com.ichi2.anki;BJ;21;0;0;0;17;82;0;0
01.03.2016;com.ichi2.anki;BM;19;0;0;0;13;29;0;0
01.03.2016;com.ichi2.anki;BN;60;0;0;0;55;192;0;0
01.03.2016;com.ichi2.anki;BO;265;3;0;0;235;717;3;0
01.03.2016;com.ichi2.anki;BR;34731;526;223;32;31428;85757;498;219
01.03.2016;com.ichi2.anki;BS;63;0;0;0;52;135;0;0
01.03.2016;com.ichi2.anki;BT;7;0;0;0;6;26;0;0
01.03.2016;com.ichi2.anki;BW;23;0;0;0;16;64;0;0
01.03.2016;com.ichi2.anki;BY;2371;10;6;1;2141;6098;9;5
01.03.2016;com.ichi2.anki;BZ;31;0;0;0;27;65;0;0
01.03.2016;com.ichi2.anki;CA;21927;49;31;10;18348;40325;36;28
01.03.2016;com.ichi2.anki;CD;39;0;0;0;26;97;0;0
01.03.2016;com.ichi2.anki;CF;1;0;0;0;1;1;0;0
01.03.2016;com.ichi2.anki;CG;13;0;0;0;11;34;0;0
01.03.2016;com.ichi2.anki;CH;12906;36;16;6;10246;22355;25;13
01.03.2016;com.ichi2.anki;CI;63;2;0;0;53;215;2;0
01.03.2016;com.ichi2.anki;CK;1;0;0;0;0;4;0;0
01.03.2016;com.ichi2.anki;CL;1181;3;3;0;1007;3294;2;2
01.03.2016;com.ichi2.anki;CM;44;0;1;0;39;145;0;0
01.03.2016;com.ichi2.anki;CN;6460;14;9;3;5183;13401;9;8
01.03.2016;com.ichi2.anki;CO;1887;10;5;0;1674;6276;6;5
01.03.2016;com.ichi2.anki;CR;410;1;1;1;345;1122;1;1
01.03.2016;com.ichi2.anki;CU;32;0;0;0;21;41;0;0
01.03.2016;com.ichi2.anki;CV;11;0;0;0;10;26;0;0
01.03.2016;com.ichi2.anki;CW;16;0;0;0;14;23;0;0
01.03.2016;com.ichi2.anki;CY;176;1;0;0;154;448;0;0
01.03.2016;com.ichi2.anki;CZ;9818;32;23;3;8366;19239;31;18
01.03.2016;com.ichi2.anki;DE;90943;237;158;25;75498;178822;168;138
01.03.2016;com.ichi2.anki;DJ;11;0;0;0;10;30;0;0
01.03.2016;com.ichi2.anki;DK;2287;7;4;2;1876;4105;5;3
01.03.2016;com.ichi2.anki;DM;45;0;0;0;34;63;0;0
01.03.2016;com.ichi2.anki;DO;357;0;1;2;300;910;0;1
01.03.2016;com.ichi2.anki;DZ;403;3;2;0;367;1745;3;1
01.03.2016;com.ichi2.anki;EC;312;2;2;0;273;944;2;2
01.03.2016;com.ichi2.anki;EE;922;4;1;0;786;2011;2;1
01.03.2016;com.ichi2.anki;EG;1751;6;4;0;1615;5108;5;4
01.03.2016;com.ichi2.anki;ER;0;0;0;0;0;0;0;0
01.03.2016;com.ichi2.anki;ES;15985;46;43;8;13489;35612;35;35
01.03.2016;com.ichi2.anki;ET;120;0;0;0;107;238;0;0
01.03.2016;com.ichi2.anki;FI;4159;7;4;3;3421;6575;5;3
01.03.2016;com.ichi2.anki;FJ;20;0;0;0;18;54;0;0
01.03.2016;com.ichi2.anki;FM;5;0;0;0;4;5;0;0
01.03.2016;com.ichi2.anki;FO;11;0;0;0;8;22;0;0
01.03.2016;com.ichi2.anki;FR;26053;88;49;16;22298;44853;73;44
01.03.2016;com.ichi2.anki;GA;3;0;0;0;3;42;0;0
01.03.2016;com.ichi2.anki;GB;37092;74;56;10;30390;70705;56;51
01.03.2016;com.ichi2.anki;GD;89;0;0;0;72;118;0;0
01.03.2016;com.ichi2.anki;GE;218;0;0;0;188;542;0;0
01.03.2016;com.ichi2.anki;GF;11;0;0;0;11;23;0;0
01.03.2016;com.ichi2.anki;GG;6;0;0;0;4;12;0;0
01.03.2016;com.ichi2.anki;GH;171;0;1;0;149;465;0;1
01.03.2016;com.ichi2.anki;GI;10;0;0;0;8;23;0;0
01.03.2016;com.ichi2.anki;GL;7;0;0;0;6;9;0;0
01.03.2016;com.ichi2.anki;GM;16;0;0;0;12;43;0;0
01.03.2016;com.ichi2.anki;GN;14;0;0;0;12;51;0;0
01.03.2016;com.ichi2.anki;GP;119;2;1;0;101;238;2;1
01.03.2016;com.ichi2.anki;GQ;8;0;0;0;5;17;0;0
01.03.2016;com.ichi2.anki;GR;937;9;6;1;810;2209;8;6
01.03.2016;com.ichi2.anki;GT;265;1;0;0;223;644;1;0
01.03.2016;com.ichi2.anki;GU;27;0;0;0;23;65;0;0
01.03.2016;com.ichi2.anki;GW;1;0;0;0;1;5;0;0
01.03.2016;com.ichi2.anki;GY;36;0;0;0;31;77;0;0
01.03.2016;com.ichi2.anki;HK;3739;11;6;3;3092;8917;8;5
01.03.2016;com.ichi2.anki;HN;71;0;1;0;68;293;0;1
01.03.2016;com.ichi2.anki;HR;844;1;2;1;729;1930;1;2
01.03.2016;com.ichi2.anki;HT;20;0;0;0;17;61;0;0
01.03.2016;com.ichi2.anki;HU;11587;39;29;5;10043;26146;31;24
01.03.2016;com.ichi2.anki;ID;2603;11;14;1;2301;7215;8;14
01.03.2016;com.ichi2.anki;IE;3138;9;5;1;2628;6340;6;2
01.03.2016;com.ichi2.anki;IL;3756;13;5;0;3245;7940;11;4
01.03.2016;com.ichi2.anki;IM;6;0;0;0;5;18;0;0
01.03.2016;com.ichi2.anki;IN;6576;32;29;3;5980;26804;30;28
01.03.2016;com.ichi2.anki;IO;1;0;0;0;1;1;0;0
01.03.2016;com.ichi2.anki;IQ;241;2;3;0;223;1002;1;3
